iter	MultiClass
0	0.9943101914
1	0.9080695722
2	0.8426156815
3	0.7882785099
4	0.7470404267
5	0.7078959176
6	0.680530006
7	0.6549786035
8	0.63099798
9	0.6130113931
10	0.5972503493
11	0.5847863153
12	0.5732724978
13	0.5643213982
14	0.5557234037
15	0.5476806709
16	0.542311012
17	0.5357174619
18	0.5303735068
19	0.5249384807
20	0.5199241276
21	0.5166215523
22	0.5130302327
23	0.5104935396
24	0.5058522215
25	0.5020139422
26	0.4997423875
27	0.498020109
28	0.4956659063
29	0.4938875886
30	0.4922711405
31	0.4908277099
32	0.4895507849
33	0.4880184584
34	0.4864679114
35	0.4848758752
36	0.4839291616
37	0.4830366504
38	0.482010568
39	0.4809548624
40	0.479356756
41	0.478464497
42	0.4768487472
43	0.476141108
44	0.4749145521
45	0.474213358
46	0.4731877366
47	0.472428848
48	0.4719770194
49	0.4715499492
50	0.4707452191
51	0.4700808459
52	0.4695418685
53	0.4691821503
54	0.4687010643
55	0.4681321779
56	0.4671929681
57	0.4669555526
58	0.46624279
59	0.465819018
60	0.4653677958
61	0.4649733962
62	0.4641200709
63	0.4639357589
64	0.4627252945
65	0.4622385871
66	0.461488943
67	0.4611333964
68	0.4603136501
69	0.459602557
70	0.4590539616
71	0.4586240074
72	0.4582186018
73	0.4578786679
74	0.4573283142
75	0.4568259481
76	0.4561608639
77	0.4555986986
78	0.4552146495
79	0.4545210977
80	0.4539181022
81	0.4535369837
82	0.4533200086
83	0.4528960733
84	0.4523725805
85	0.4516690117
86	0.4506947295
87	0.4499045268
88	0.4494841774
89	0.4488411561
90	0.448543691
91	0.4480556392
92	0.4475978781
93	0.4473071856
94	0.4470641457
95	0.4468386734
96	0.446288869
97	0.4458627574
98	0.4454932891
99	0.4451040378
100	0.4448666544
101	0.4445360874
102	0.4443163701
103	0.4440597953
104	0.4434623089
105	0.4430595758
106	0.4427472791
107	0.4425952383
108	0.4420531956
109	0.4417646686
110	0.4410170432
111	0.4405955804
112	0.440330168
113	0.4401544427
114	0.4398881865
115	0.4393622505
116	0.4387749774
117	0.4385908652
118	0.4384030495
119	0.4381111901
120	0.4377040165
121	0.4374654107
122	0.4371228136
123	0.4367849108
124	0.4363526969
125	0.4360608983
126	0.4355369577
127	0.4353641503
128	0.4350696939
129	0.4349796103
130	0.4347634611
131	0.4345448218
132	0.4339344617
133	0.4335668012
134	0.4332498414
135	0.4328769254
136	0.4326987293
137	0.4324942283
138	0.4321369511
139	0.4317766112
140	0.4313957972
141	0.430969266
142	0.4306098581
143	0.430318677
144	0.4300197428
145	0.4296970594
146	0.4294278928
147	0.4292748835
148	0.4289197625
149	0.4285596944
150	0.4283295329
151	0.4280893706
152	0.4279304173
153	0.4277839386
154	0.4271513012
155	0.426915617
156	0.426631631
157	0.4263955597
158	0.4261700872
159	0.4258712613
160	0.4255924623
161	0.4254300355
162	0.4251769349
163	0.4249824172
164	0.4247233672
165	0.4244334648
166	0.4239082787
167	0.4235968514
168	0.4234344687
169	0.4233274943
170	0.4231236928
171	0.4228119309
172	0.4227303798
173	0.4225511191
174	0.4223354328
175	0.4221783315
176	0.421693412
177	0.4214884632
178	0.4212192341
179	0.4209887848
180	0.4205422565
181	0.4203838063
182	0.4200644247
183	0.4199756367
184	0.4196595855
185	0.4194231554
186	0.4193076315
187	0.4188781046
188	0.4184770031
189	0.4182611594
190	0.4179791571
191	0.4175787554
192	0.4173722714
193	0.4172112118
194	0.4170572348
195	0.4169315719
196	0.4167873138
197	0.4166199767
198	0.4164028438
199	0.4160449903
200	0.4158340335
201	0.4157949041
202	0.4155260874
203	0.4150033703
204	0.414875016
205	0.4147125688
206	0.4146042731
207	0.4144901884
208	0.4143386847
209	0.4141945718
210	0.4140894812
211	0.4139150516
212	0.4137453309
213	0.4136100523
214	0.4133514721
215	0.4131580322
216	0.412970698
217	0.4127742178
218	0.4125319854
219	0.4124215619
220	0.4121571563
221	0.4120373039
222	0.4118208528
223	0.4115118501
224	0.4114331509
225	0.4113027908
226	0.4110561188
227	0.4105673497
228	0.4104623194
229	0.4102981002
230	0.4101651914
231	0.4100442329
232	0.4098325249
233	0.4096102116
234	0.4095027717
235	0.4092139184
236	0.4090872395
237	0.4089612242
238	0.4087329105
239	0.4086190932
240	0.4083393579
241	0.4081227399
242	0.4079584342
243	0.407758789
244	0.4076412474
245	0.4074635446
246	0.4072865869
247	0.407093891
248	0.4068396383
249	0.4065341522
250	0.4062765353
251	0.4060075964
252	0.4057360112
253	0.4056605963
254	0.4055526708
255	0.4053017331
256	0.4052503063
257	0.4050992567
258	0.4048741165
259	0.4046827131
260	0.4044605768
261	0.4043692091
262	0.4041218409
263	0.4040137099
264	0.4038557684
265	0.4037827343
266	0.4033408012
267	0.4031992367
268	0.4029932157
269	0.402926487
270	0.4026749832
271	0.4024790158
272	0.4024035637
273	0.4022995366
274	0.4021912702
275	0.4019587125
276	0.4018130877
277	0.4015802636
278	0.4015249317
279	0.4012723699
280	0.4011646815
281	0.4009211733
282	0.4007519574
283	0.4006153004
284	0.4003673455
285	0.4001660068
286	0.4000969098
287	0.3998512749
288	0.3995903269
289	0.3994525575
290	0.3993536412
291	0.3992334048
292	0.3991396624
293	0.3990325199
294	0.398964585
295	0.3986777834
296	0.3982789523
297	0.3980070609
298	0.3978133122
299	0.3976579886
300	0.3975192863
301	0.3972554732
302	0.3971455529
303	0.3970067307
304	0.3968678911
305	0.3967156547
306	0.3965373559
307	0.396495295
308	0.3962878001
309	0.3961349056
310	0.3959862255
311	0.3958754487
312	0.3954152299
313	0.3951976742
314	0.3948809252
315	0.3946907572
316	0.3946273004
317	0.3945204649
318	0.39429775
319	0.3941715374
320	0.3939705221
321	0.3937240238
322	0.3934777732
323	0.3933940594
324	0.3932025938
325	0.3929695453
326	0.3927839333
327	0.3925130299
328	0.3923984662
329	0.392222733
330	0.3920274213
331	0.3918504007
332	0.3917035732
333	0.3914776206
334	0.3913296795
335	0.3911421305
336	0.3909632354
337	0.390805752
338	0.3906480806
339	0.3905258786
340	0.3902844172
341	0.3901026313
342	0.3900131277
343	0.3899610165
344	0.3898417287
345	0.3896789121
346	0.389573468
347	0.3894258256
348	0.3893123419
349	0.3892205952
350	0.3890032212
351	0.3888112122
352	0.3886294773
353	0.3880791983
354	0.3878869449
355	0.387720722
356	0.3874823737
357	0.3873999939
358	0.3872634133
359	0.3871139952
360	0.3870316953
361	0.3868913702
362	0.3867602053
363	0.3865847107
364	0.3864928511
365	0.3864138582
366	0.3863083673
367	0.3862803256
368	0.3861605059
369	0.3859916884
370	0.385837549
371	0.3857188652
372	0.3856132481
373	0.3853203029
374	0.3851863418
375	0.3850270763
376	0.3848821823
377	0.3846262602
378	0.3845117038
379	0.3843506118
380	0.3843133506
381	0.3842060884
382	0.3841144213
383	0.3840169848
384	0.3839025285
385	0.3837123528
386	0.383410848
387	0.3833786377
388	0.3832699127
